File	Name	Slot	Script
ammgrd03	Monk	Slot 592	agrandbr
ammgrd04	Guard Captain	Slot 600	agrandrb
ammgrd05	Monk	Slot 600	agrandrb
amminot	Minotaur	Slot 584	agrandrp
ammlegs	Monk	Slot 600	agrandbr
ammonk01	Monk	Slot 592	agrandrb
ammonk02	Monk	Slot 592	agrandrb
ammonk03	Monk	Slot 600	agrandrb
ammonk04	Monk	Slot 600	agrandsw
ammonk05	Monk	Slot 600	agrandrb
ammonk06	Monk	Slot 600	agrandrp
ammonk07	Monk	Slot 592	agrandbr
ammonk08	Monk	Slot 592	agrandrb
amncen1	Amnian Centurion	Slot 608	agrandrb
amnleg01	Amnian Legionary	Slot 592	agrandbr
amnleg1	Amnian Legionary	Slot 600	agrandrb
amsaemon	Saemon Havarian	Slot 592	agrandsh
amsi	Am-Si	Slot 592	agrandrb
amsmug01	Smuggler	Slot 608	agrandrb
amtarc01	Tethyrian Archer	Slot 592	agrandrb
amtcap01	Tethyrian Captain	Slot 592	agrandbr
amtcle01	Cleric Of Lathander	Slot 592	agrandbr
amtcler0	Cleric Of Lathander	Slot 592	agrandlx
amtgen01	Jamis Tombelthen	Slot 592	agrandrg
amtmag01	Tethyrian Battlemage	Slot 592	agrandsh
amtpik01	Tethyrian Pikeman	Slot 592	agrandbr
amumber	Umber Hulk	Slot 584	agrandrb
amwyvern	Lucy	Slot 608	agrandcl
anast	Valen	Slot 600	agrandbr
andrath	Andrath	Slot 592	agrandrb
ankheg	Ankheg	Slot 592	agrandrb
ankheg01	Ankheg	Slot 592	agrandbr
ankhegg	Ankheg	Slot 584	agrandsh
ankhegq	Ankheg	Slot 592	agrandbr
anno1	Announcer	Slot 600	agrandbr
anothug	Guard	Slot 592	agrandea
antenos	Antenos	Slot 592	agrandrb
appar	Skeleton	Slot 592	agrandrb
ar18arch	Archer	Slot 600	agrandrb
ar18dwaf	Duergar	Slot 600	agrandbr
ar18fam	Mist Mephit	Slot 592	agrandbr
ar18fig	Mercenary	Slot 600	agrandrb
ar18mage	Mage	Slot 608	agrandrb
ar18prie	Priest of Cyric	Slot 600	agrandbr
ar18skel	Skeleton Warrior	Slot 600	agrandbr
ar18thif	Thief	Slot 608	agrandcl
aran	Aran Linvail	Slot 600	agrandrb
aran02	Aran Linvail	Slot 608	agrandrb
aranor	Aranor	Slot 600	agrandrb
arenthis	Arenthis	Slot 600	agrandsr
arianna	Arianna	Slot 592	agrandrb
arianna1	Arianna	Slot 592	agrandrb
arkani	Arkanis	Slot 592	agrandrb
arkanisg	Arkanis Gath	Slot 592	agrandbr
arled	Arledrian	Slot 592	agrandcl
army01	Orc	Slot 592	agrandbr
arnboy01	Apprentice Torturer Douglas	Slot 608	agrandbr
arnfgt01	Shadow Thief	Slot 592	agrandbr
arnfgt02	Shadow Thief	Slot 592	agrandbr
arnfgt03	Shadow Thief Archer	Slot 600	agrandrb
arnfgt04	Shadow Thief Thug	Slot 600	agrandbr
arnfgt05	Shadow Thief	Slot 592	agrandrb
arngrl01	Missy	Slot 592	agrandrb
arnman03	Cuchul	Slot 592	agrandrb
arnman04	Mitsu	Slot 592	agrandbr
arnman05	Achon	Slot 592	agrandrb
arnman08	Shadow Thief	Slot 592	agrandbr
arnman09	Shadow Thief	Slot 592	agrandrb
arnman10	Trainee	Slot 608	agrandbr
arnman11	Trainee	Slot 608	agrandbr
arntra01	Trainee	Slot 608	agrandrb
arntra02	Trainee	Slot 608	agrandbr
arntra03	Trainee	Slot 600	agrandrb
arntra04	Trainee	Slot 600	agrandbr
arntra05	Shadow Thief	Slot 608	agrandrb
arntra06	Shadow Thief	Slot 600	agrandbr
arnwar01	Shadow Thief Archer	Slot 592	agrandrb
arnwar02	Shadow Thief Thug	Slot 592	agrandrb
arnwar03	Shadow Thief	Slot 592	agrandnc
arnwar04	Shadow Thief Footpad	Slot 592	agrandrb
arnwar05	Shadow Thief	Slot 592	agrandbr
arnwar06	Haz	Slot 584	agrandrb
arnwar07	Dedral	Slot 600	agrandrb
arnwar08	Tizzak	Slot 608	agrandrb
arnwar09	Shadow Thief	Slot 600	agrandrb
arnwar10	Priest of Mask	Slot 592	agrandrb
arval	High Mornmaster Arval	Slot 608	agrandrb
assagrd1	Kalvassa Guard	Slot 592	agrandbr
assagrd2	Kalvassa Guard	Slot 592	agrandbr
assagrd3	Kalvassa Guard	Slot 600	agrandbr
assagrd4	Kalvassa Guard	Slot 600	agrandbr
assagrd5	Kalvassa Guard	Slot 600	agrandrb
assagrd6	Kalvassa Guard	Slot 600	agrandrb
avarice	Warder	Slot 592	agrandbr
avaun11	Avaunis Adelez	Slot 592	agrandbr
avaun13	Avaunis Adelez	Slot 592	agrandbr
avaun9	Avaunis Adelez	Slot 592	agrandrb
avbatt02	Avrabar	Slot 600	agrandrb
avrabatt	Avrabar	Slot 600	agrandbr
avracut1	Avrabar	Slot 600	agrandrb
b!bertra	Bertram	Slot 608	agrandrb
b!gustav	Gustav	Slot 600	agrandrb
b!jolun	Jolun	Slot 592	agrandbr
b!laran	Laran	Slot 592	agrandbr
b!penny	Penny	Slot 600	agrandrb
b!reed	Reed	Slot 592	agrandrb
b!thug1	Plato	Slot 600	agrandbr
b!thug2	Crusher	Slot 600	agrandbr
b!thug3	Spike	Slot 600	agrandbr
b!valer	Valeria	Slot 600	agrandbr
badluck	Jariel	Slot 592	agrandbr
balelit1	Adherent	Slot 584	agrandbr
balelit2	Adherent	Slot 584	agrandbr
balelit3	Adherent	Slot 584	agrandbr
balelit4	Adherent	Slot 584	agrandbr
balelite	Monk	Slot 600	agrandbr
balth	Balthazar	Slot 592	agrandbr
bamng01	Amnian Guard	Slot 600	agrandrp
bamng02	Amnian Guard	Slot 600	agrandrb
bandit2	Bandit	Slot 608	agrandea
baninvi	Barl	Slot 592	agrandrb
banshe01	Banshee	Slot 592	agrandsw
bansumon	Elven Demon	Slot 592	agrandea
barb1	Barbarian Tribesman	Slot 600	agrandbr
barb2	Barbarian Tribesman	Slot 600	agrandbr
barb3	Ornamus	Slot 600	agrandbr
barb4	Ornamus	Slot 592	agrandnc
barbgood	Barbarian Armsman	Slot 592	agrandbr
barbgrd	Barbarian Tribesman	Slot 592	agrandbr
barbgrd2	Barbarian Tribesman	Slot 600	agrandbr
barbheal	Barbarian Healer	Slot 592	agrandbr
barbkin2	King Heafnall	Slot 592	agrandrb
barbking	King Heafnall	Slot 592	agrandrb
barbmess	Barbarian Tribesman	Slot 592	agrandbr
barborn	Ornamus	Slot 592	agrandrb
bargood	Barbarian Armsman	Slot 592	agrandbr
barheal	Barbarian Healer	Slot 592	agrandbr
barl	Barl	Slot 600	agrandrb
baronp	Baron Ployer	Slot 600	agrandbr
barsail1	Sailor	Slot 592	agrandbr
barsail2	Sailor	Slot 592	agrandrb
basgrt01	Greater Basilisk	Slot 592	agrandbr
basill	Lesser Basilisk	Slot 592	agrandrb
basles01	Lesser Basilisk	Slot 592	agrandrb
baurian	Baurian Arathor	Slot 592	agrandbr
baurian2	Baurian Arathor	Slot 592	agrandbr
bazdra01	Draconis	Slot 592	agrandbr
bazdra02	Draconis	Slot 592	agrandbr
bazdra03	Fll'Yissetat	Slot 608	agrandbr
bazeye01	Iycanth the Mad	Slot 592	agrandbr
bazeye02	Iycanth the Mad	Slot 600	agrandrb
bazgau01	Gauth	Slot 600	agrandbr
bazliz01	Lizard Man Shaman	Slot 584	agrandbr
bazliz02	Lizard Man Shaman	Slot 584	agrandrb
bazliz03	Lizard Man	Slot 584	agrandbr
bazliz04	Lizard Man Captain	Slot 584	agrandbr
bazmonk	Monk	Slot 592	agrandrb
bazpat01	Bondari	Slot 600	agrandrb
bazpat02	Nanoc the Barbarian	Slot 600	agrandrb
bazpat03	Tim Goldenhand	Slot 600	agrandbr
bdbart01	Samuel Thunderburp	Slot 592	agrandrb
bdcoun03	Bodyguard	Slot 592	agrandrb
bdock1	Dockhand Ogre	Slot 592	agrandrb
bdock2	Dockhand Ogre	Slot 592	agrandrb
bdprst01	Shvanana	Slot 600	agrandbr
bdturm01	Turmish Leader	Slot 600	agrandbr
bdturm02	Turmish Thief	Slot 592	agrandbr
bdturm03	Turmish Sorceress	Slot 600	agrandbr
bdturm04	Turmish Thug	Slot 600	agrandbr
beast	Beastmaster	Slot 600	agrandrb
beeloo	Beeloo Jansen	Slot 600	agrandrb
behdir01	Director	Slot 592	agrandbr
beheld01	Elder Orb	Slot 592	agrandbr
behgas01	Gas Spore	Slot 592	agrandrb
behgau01	Gauth	Slot 592	agrandbr
behhiv01	Hive Mother	Slot 592	agrandrb
behobs01	Observer	Slot 592	agrandrb
behold01	Beholder	Slot 592	agrandbr
behspe01	Spectator	Slot 592	agrandbr
behund01	Death Tyrant	Slot 592	agrandrb
belmin	Belmin Gergas	Slot 592	agrandbr
bendalis	Bendalis	Slot 592	agrandrb
bentha	Bentha	Slot 592	agrandbr
berinvar	Berinvar	Slot 600	agrandcl
berkref	Zorl	Slot 600	agrandbr
bgctboss	Amroch	Slot 600	agrandrb
bggard1	Riatavin Soldier	Slot 592	agrandrb
bghq1	Laelbor	Slot 600	agrandbr
bghq2	Dilfin	Slot 600	agrandrb
bghq3	Redandon	Slot 592	agrandbr
bgrape01	Prison Guard	Slot 592	agrandrb
bgrape02	Prison Guard	Slot 592	agrandbr
bgsavior	Araphor Carvel	Slot 592	agrandbr
bgsell1	Black Market Thief	Slot 600	agrandbr
bgsell2	Black Market Thief	Slot 600	agrandrb
bgsh01	Soldier	Slot 592	agrandea
bgsh02	Soldier	Slot 600	agrandnc
bgsh03	Soldier	Slot 600	agrandrb
bgsh04	Soldier	Slot 592	agrandbr
bgsh05	Sir Mardus	Slot 608	agrandrb
bgsh06	Soldier	Slot 600	agrandbr
bgsh07	Soldier	Slot 608	agrandbr
bgshbad1	Soldier	Slot 600	agrandbr
bgshbad2	Soldier	Slot 600	agrandrb
bgshbad3	Soldier	Slot 600	agrandrb
bgshbad4	Soldier	Slot 600	agrandrb
bgshbad5	Soldier	Slot 600	agrandbr
bgshbad6	Soldier	Slot 600	agrandrb
bgshboss	Amroch	Slot 600	agrandbr
bguard1	Guard	Slot 600	agrandrb
bhaal01	Bhaal	Slot 592	agrandcl
bhalf1	Stivan the Hunter	Slot 592	agrandrb
bharval	High Mornmaster Arval	Slot 608	agrandbr
bhcapt01	Elite Guard Captain	Slot 600	agrandrg
bhelm	Guardian Vottnar	Slot 600	agrandrb
bheye	Unseeing Eye	Slot 592	agrandbr
bhgaal01	Elite Guard	Slot 600	agrandrb
bhghoul1	Ghoul	Slot 600	agrandrb
bhghoul2	Ghast	Slot 584	agrandsr
bhghoul3	Zombie	Slot 592	agrandbr
bhghoul4	Ghast	Slot 584	agrandbr
bhghoul5	Zombie	Slot 592	agrandrb
bhguard	Elite Guard	Slot 592	agrandbr
bhguard2	Elite Guard	Slot 592	agrandbr
bhnalla	Stormherald Nallabir	Slot 600	agrandbr
bhoisig	High Watcher Oisig	Slot 600	agrandnc
bishop	Bishop	Slot 584	agrandsh
blackl	Black Lily	Slot 592	agrandrb
blood01	Barbazu	Slot 584	agrandrb
blood01x	Barbazu	Slot 600	agrandbr
blood02	Amnizu Wizard	Slot 584	agrandbr
blood02x	Amnizu Wizard	Slot 600	agrandrb
bmerch1	Qadeel	Slot 592	agrandbr
bmthief	Marina	Slot 600	agrandrb
bmugg1	Mugger	Slot 600	agrandbr
bodfgt03	Guild Contact	Slot 592	agrandrb
bodhi	Bodhi	Slot 584	agrandbr
bodhi2	Bodhi	Slot 592	agrandbr
bodhiamb	Bodhi	Slot 592	agrandrb
bodtan	Tanova	Slot 600	agrandrb
bodvam01	Durst	Slot 600	agrandbr
bodvam02	Gellal	Slot 600	agrandnc
bogre1	Ogre	Slot 584	agrandbr
booter	Booter	Slot 600	agrandbr
booter02	Booter	Slot 592	agrandbr
borinall	Borinall	Slot 600	agrandrb
bounha02	Bounty Hunter	Slot 592	agrandbr
bounha03	Bounty Hunter	Slot 592	agrandbr
bounha04	Bounty Hunter	Slot 592	agrandbr
brage	Brage	Slot 600	agrandbr
braiwa1	Blind Priest	Slot 600	agrandsw
braiwa2	Blind Priest	Slot 608	agrandrb
braiwa3	Blind Priest	Slot 600	agrandrb
braiwa4	Blind Priest	Slot 608	agrandrg
braiwa5	Blind Priest	Slot 600	agrandbr
breg03	D'aerthe Guard	Slot 592	agrandbr
bregg	Bregg	Slot 592	agrandrb
brelm	Brelm	Slot 600	agrandrb
brielb	Brielbara	Slot 600	agrandrb
bsailor1	Sailor	Slot 600	agrandrb
bsailor2	Sailor	Slot 592	agrandsr
bsailor3	Sailor	Slot 592	agrandbr
bshop01	Cutpurse	Slot 592	agrandbr
btelite	Black Talon Elite	Slot 600	agrandbr
bugarch	Bugbear	Slot 592	agrandcl
bugbear	Bugbear	Slot 592	agrandbr
bunkin	Bunkin	Slot 600	agrandsh
burn01	Body	Slot 592	agrandbr
bw05ba01	Grey Clan Bandit	Slot 584	agrandrb
bw05ba02	Grey Clan Bandit	Slot 584	agrandrb
bw05ba03	Grey Clan Bandit	Slot 584	agrandrb
bw05ba04	Grey Clan Bandit	Slot 584	agrandbr
bw05ba05	Grey Clan Bandit	Slot 600	agrandbr
bw05ba06	Grey Clan Bandit	Slot 600	agrandrb
bw05ba07	Grey Clan Bandit	Slot 584	agrandbr
bw05baat	Grey Clan Bandit	Slot 584	agrandrb
bw05bach	Grey Clan Bandit	Slot 600	agrandrb
bw05barp	Grey Clan Bandit	Slot 608	agrandbr
bw05bbgd	Bodyguard	Slot 584	agrandbr
bw05bl01	Bandit Leader	Slot 584	agrandbr
bw05bl02	Bandit Leader	Slot 600	agrandnc
bw05bl03	Bandit Leader	Slot 592	agrandbr
bw05bloj	"Bloody" Jim	Slot 600	agrandbr
bw05bori	Boris	Slot 600	agrandrb
bw05brma	Black-Robed Man	Slot 592	agrandbr
bw05char	Charles	Slot 608	agrandbr
bw05cou1	Courtesan	Slot 584	agrandbr
bw05cou2	Courtesan	Slot 584	agrandbr
bw05cou3	Courtesan	Slot 584	agrandrb
bw05dami	Damien	Slot 584	agrandbr
bw05dw01	Fundor Balorslayer	Slot 600	agrandrb
bw05dw02	Frar Balorslayer	Slot 600	agrandrg
bw05dw03	Dwarven Warrior	Slot 600	agrandcl
bw05dw04	Dwarven Warrior	Slot 600	agrandbr
bw05dw05	Dwarven Warrior	Slot 600	agrandrp
bw05erne	Ernest	Slot 592	agrandbr
bw05eros	Eros	Slot 600	agrandrb
bw05fd01	Traitor	Slot 592	agrandcl
bw05ffap	Injured Woman	Slot 600	agrandrb
bw05ffde	Flaming Fist Deserter	Slot 584	agrandrb
bw05ffge	General Jedyan	Slot 584	agrandbr
bw05fist	Commander "Greyfist"	Slot 584	agrandsr
bw05gart	Gartuffe	Slot 584	agrandbr
bw05gra0	Tattooed Man	Slot 584	agrandbr
bw05grac	Grachus	Slot 592	agrandbr
bw05grs1	Moon Horror	Slot 584	agrandlx
bw05grs2	Moon Horror	Slot 584	agrandbr
bw05grz0	Wind Horror	Slot 600	agrandbr
bw05grz1	Undead Jedyan	Slot 584	agrandrb
bw05grz2	Undead Guard	Slot 584	agrandbr
bw05grz3	Undead Soldier	Slot 584	agrandbr
bw05hert	Hertuk	Slot 584	agrandbr
bw05john	John	Slot 592	agrandrb
bw05jusm	Jusam	Slot 608	agrandbr
bw05lind	High Sorceress Linda	Slot 592	agrandbr
bw05mold	Crystal Servant	Slot 592	agrandbr
bw05moni	Monica	Slot 592	agrandbr
bw05octa	High Sorceress Octavia	Slot 592	agrandbr
bw05ogma	Ogre Mage	Slot 592	agrandrb
bw05ogre	Ogre	Slot 592	agrandcl
bw05petr	High Sorceress Petrarca	Slot 592	agrandrb
bw05pump	Pumpkin	Slot 584	agrandbr
bw05reuf	Reufasio	Slot 600	agrandrb
bw05rud2	Rudi "The Metaphysician"	Slot 592	agrandrb
bw05rudi	Rudi "The Metaphysician"	Slot 592	agrandrb
bw05sert	Dervanto	Slot 592	agrandrb
bw05skw1	Undead Knight	Slot 592	agrandbr
bw05skw2	Publius Dawnbringer	Slot 592	agrandbr
bw05tali	Talibehius	Slot 584	agrandrb
bw05tame	Tamer	Slot 584	agrandrb
bw05tbg1	Bodyguard	Slot 584	agrandrb
bw05tbg2	Bodyguard	Slot 584	agrandrb
bw05tbg3	Bodyguard	Slot 584	agrandrb
bw05tbg4	Bodyguard	Slot 584	agrandrb
bw05tbg5	Bodyguard	Slot 584	agrandbr
bw05tbg6	Bodyguard	Slot 584	agrandrb
bw05terg	Tergius	Slot 584	agrandsr
bw05teve	Teven	Slot 584	agrandbr
bw05thie	Thief	Slot 592	agrandsr
bw05tobo	Tobordur	Slot 584	agrandbr
bw05vlai	Vladimir	Slot 600	agrandrb
bw05will	William	Slot 600	agrandbr
bw05xeph	Xephistagoras	Slot 592	agrandbr
c#ajalex	Sir Beverus	Slot 600	agrandrb
c#ajan08	Sir Ajantis	Slot 592	agrandbr
c#ajan09	Sir Ajantis	Slot 592	agrandbr
c#ajan10	Sir Ajantis	Slot 592	agrandbr
c#ajan12	Sir Ajantis	Slot 592	agrandrb
c#ajan14	Sir Ajantis	Slot 592	agrandrb
c#ajan16	Sir Ajantis	Slot 592	agrandbr
c#ajdoug	Douglas	Slot 608	agrandbr
c#ajkend	Sir Laren	Slot 600	agrandbr
c#ajpr01	Priest Antaunus	Slot 608	agrandrb
c#ajshbo	Messenger	Slot 608	agrandrb
c#ajske1	Skeleton	Slot 592	agrandrb
c#ajske2	Skeleton Warrior	Slot 592	agrandbr
c#ajsked	Skeleton	Slot 592	agrandrb
c#ajtrae	Malmae	Slot 600	agrandcl
c#ajudzo	Handmaiden of Lolth	Slot 600	agrandbr
c#dkn01	Adventurer	Slot 592	agrandrb
c#dkn02	Adventurer	Slot 592	agrandbr
c#dkn03	Adventurer	Slot 592	agrandbr
c#dkn04	Adventurer	Slot 592	agrandrb
c#dkn05	Adventurer	Slot 592	agrandrb
